Dictionary sequence,SFCategory,ADIT category mandatory,ADIT category view type,ADIT super category ID,ADIT super category,ADIT category group ID,ADIT category view name,Tag,BMRB current,BMRB next release,Discussion List,SG Mandatory,,ADIT exists,User full view,User structure view,User non-structure view,User NMR param. View,Annotator full view,Item enumerated,Item enumeration closed,Enum parent SFcategory,Enum parent tag,Derived enumeration mantable,Derived enumeration,ADIT item view name,Data Type,Nullable,Non-public,ManDBTableName,ManDBColumnName,Row Index Key,Saveframe ID tag,Source Key,Table Primary Key,Foreign Key Group,Foreign Table,Foreign Column,Secondary index,Sub category,Units,Loopflag,Seq,Adit initial rows,Enumeration ties,Mandatory code overides,Overide value,Overide view value,ADIT auto insert,Example,Prompt,Interface,bmrbPdbMatchID,bmrbPdbTransFunc,STAR flag,DB flag,SfLabelFlg,Sf category flag,Framecode value flag,Natural primary key,Natural foreign key,Redundant keys,Parent tag,public,internal,small molecule,small molecule,metabolomics,metabolomics,Overide public,internal,small molecule,small molecule,metabolomic,metabolomic,default value,Adit form code,Tag category,Tag field,Local key,Datum count flag,pdbx equivalent,mmCIF equivalent,Meta data,Tag delete,BMRB data type,STAR vs Curated DB,Key group,Reference table,Reference column,Dictionary description,variableTypeMatch,entryIdFlg,outputMapExistsFlg,lclSfIdFlg,Met ADIT category view name,Met Example,Met Prompt,Met Description,SM Struct ADIT-NMR category view name,SM Struct Example,SM Struct Prompt,SM Struct Description,Met default value,SM default value
23900,other_data_types,N,R,5,NMR_parameters,320,Other data type list,_Other_data_type_list.Text_data_format,,X,,,,Y,H,H,H,H,H,N,,,,,,Text data format,VARCHAR(31),,,OtherDataTypeList,TextDataFormat,N,N,,,,,,,,,N,6740,,,,,,0,?,Text data format,The data format used to represent the data reported in this saveframe as ASCII text in the text block that is the value to the '_Assigned_chem_shift.Text_data' tag.,?,?,Y,Y,N,N,N,N,?,?,?,O,O,O,O,O,O,O,O,O,O,O,O,?,0,Other_data_type_list,Text_data_format,?,?,?,?,Y,N,line,,?,?,?,The data format used to represent the data reported in this saveframe as ASCII text in the text block that is the value to the '_Assigned_chem_shift.Text_data' tag.,,N,?,?,Other data type list,?,Text data format,The data format used to represent the data reported in this saveframe as ASCII text in the text block that is the value to the '_Assigned_chem_shift.Text_data' tag.,Other data type list,?,Text data format,The data format used to represent the data reported in this saveframe as ASCII text in the text block that is the value to the '_Assigned_chem_shift.Text_data' tag.,?,?
23910,other_data_types,N,R,5,NMR_parameters,320,Other data type list,_Other_data_type_list.Text_data,,X,,,,Y,H,H,H,H,H,N,,,,,,Text data,TEXT,,,OtherDataTypeList,TextData,N,N,,,,,,,,,N,6750,,,,,,0,?,Text data,A set of data formatted as ASCII text.,?,?,Y,Y,N,N,N,N,?,?,?,O,O,O,O,O,O,O,O,O,O,O,O,?,0,Other_data_type_list,Text_data,?,?,?,?,Y,N,text,,?,?,?,A set of data formatted as ASCII text.,,N,?,?,Other data type list,?,Text data,A set of data formatted as ASCII text.,Other data type list,?,Text data,A set of data formatted as ASCII text.,?,?
23920,other_data_types,N,T6,5,NMR_parameters,320,NMR experiments used to derive these data,_Other_data_experiment.Experiment_ID,,MC,,,,Y,H,H,H,H,H,N,,,,,,Experiment ID,INTEGER,NOT NULL,,OtherDataExperiment,ExperimentID,N,N,,Y,,Experiment,ID,,,,Y,10,4,,,,,7,?,Experiment ID,Pointer to '_Experiment.ID',?,?,Y,Y,N,N,N,N,_Experiment.ID,?,_NMR_spec_expt.ID,O,O,O,O,O,O,O,O,O,O,O,O,?,0,Other_data_experiment,Experiment_ID,?,?,?,?,Y,N,int,,?,?,?,Pointer to '_Experiment.ID',,N,?,?,NMR experiments used to derive these data,?,Experiment ID,Pointer to '_Experiment.ID',NMR experiments used to derive these data,?,Experiment ID,Pointer to '_Experiment.ID',?,?
23930,other_data_types,N,T6,5,NMR_parameters,320,NMR experiments used to derive these data,_Other_data_experiment.Experiment_name,,X,,,,Y,Y,H,H,H,H,Y,Y,,,,,Experiment name,VARCHAR(127),,,OtherDataExperiment,ExperimentName,N,N,,,,,,,,,Y,20,4,10,,,,0,?,NMR experiments (select from NMR experiment and samples list),Pointer to a saveframe of the category 'NMR_spectrometer_expt',?,?,Y,Y,N,N,N,N,?,?,?,O,O,O,O,O,O,O,O,O,O,O,O,?,1,Other_data_experiment,Experiment_name,?,?,?,?,Y,N,line,,?,?,?,Pointer to a saveframe of the category 'NMR_spectrometer_expt',,N,?,?,NMR experiments used to derive these data,?,NMR experiments (select from NMR experiment and samples list),Pointer to a saveframe of the category 'NMR_spectrometer_expt',NMR experiments used to derive these data,?,NMR experiments (select from NMR experiment and samples list),Pointer to a saveframe of the category 'NMR_spectrometer_expt',?,?
23940,other_data_types,N,T6,5,NMR_parameters,320,NMR experiments used to derive these data,_Other_data_experiment.Sample_ID,,MC,,,,Y,H,H,H,H,H,N,,,,,,Sample ID,INTEGER,NOT NULL,,OtherDataExperiment,SampleID,N,N,,Y,,Sample,ID,,,,Y,30,4,,,,,7,?,Sample ID,Pointer to '_Sample.ID',?,?,Y,Y,N,N,N,N,_Sample.ID,?,_Sample.ID,O,O,O,O,O,O,O,O,O,O,O,O,?,0,Other_data_experiment,Sample_ID,Y,?,?,?,Y,N,int,,?,?,?,Pointer to '_Sample.ID',,N,?,?,NMR experiments used to derive these data,?,Sample ID,Pointer to '_Sample.ID',NMR experiments used to derive these data,?,Sample ID,Pointer to '_Sample.ID',?,?
23950,other_data_types,N,T6,5,NMR_parameters,320,NMR experiments used to derive these data,_Other_data_experiment.Sample_label,,X,,,,Y,H,H,H,H,H,N,,,,,,Sample label,VARCHAR(127),NOT NULL,,OtherDataExperiment,SampleLabel,N,N,,,,,,,,,Y,40,4,8,,,,8,?,Sample label,Pointer to a saveframe of the category 'sample',?,?,Y,Y,N,N,Y,N,?,?,?,O,O,O,O,O,O,O,O,O,O,O,O,?,1,Other_data_experiment,Sample_label,?,?,?,?,Y,N,label,,?,?,?,Pointer to a saveframe of the category 'sample',,N,?,?,NMR experiments used to derive these data,?,Sample label,Pointer to a saveframe of the category 'sample',NMR experiments used to derive these data,?,Sample label,Pointer to a saveframe of the category 'sample',?,?
23960,other_data_types,N,T6,5,NMR_parameters,320,NMR experiments used to derive these data,_Other_data_experiment.Sample_state,,MC,Y,,,Y,H,H,H,H,H,Y,N,,,,,Sample state,VARCHAR(31),NOT NULL,,OtherDataExperiment,SampleState,N,N,,Y,,,,,,,Y,50,4,,,,,0,?,Sample state,Physical state of the sample either anisotropic or isotropic.,?,?,Y,Y,N,N,N,N,?,?,?,O,O,O,O,O,O,V,V,V,V,V,V,?,1,Other_data_experiment,Sample_state,Y,?,?,?,Y,N,line,,?,?,?,Physical state of the sample either anisotropic or isotropic.,,N,?,?,NMR experiments used to derive these data,?,Sample state,Physical state of the sample either anisotropic or isotropic.,NMR experiments used to derive these data,?,Sample state,Physical state of the sample either anisotropic or isotropic.,?,?
23970,other_data_types,N,T6,5,NMR_parameters,320,NMR experiments used to derive these data,_Other_data_experiment.Sf_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Sf ID,INTEGER,NOT NULL,Y,OtherDataExperiment,SfID,N,Y,,,,Other_data_type_list,Sf_ID,,,,Y,60,4,,,,,4,?,n/a,Pointer to '_Other_data_type_list.Sf_ID',?,?,Y,Y,N,N,N,N,_Other_data_type_list.Sf_ID,?,_New_data_type_list.Sf_ID,I,I,I,I,I,I,I,I,I,I,I,I,?,0,Other_data_experiment,Sf_ID,?,?,?,?,Y,N,int,,?,?,?,Pointer to '_Other_data_type_list.Sf_ID',,N,?,?,NMR experiments used to derive these data,?,n/a,Pointer to '_Other_data_type_list.Sf_ID',NMR experiments used to derive these data,?,n/a,Pointer to '_Other_data_type_list.Sf_ID',?,?
23980,other_data_types,N,T6,5,NMR_parameters,320,NMR experiments used to derive these data,_Other_data_experiment.Entry_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,OtherDataExperiment,EntryID,N,N,,Y,,Entry,ID,,,,Y,70,4,,,,,3,?,n/a,Pointer to '_Entry.ID',?,?,Y,Y,N,N,N,N,_Entry.ID,?,_Entry.ID,V,V,V,V,V,V,V,V,V,V,V,V,?,0,Other_data_experiment,Entry_ID,?,?,?,?,Y,N,code,,?,?,?,Pointer to '_Entry.ID',,Y,?,?,NMR experiments used to derive these data,?,n/a,Pointer to '_Entry.ID',NMR experiments used to derive these data,?,n/a,Pointer to '_Entry.ID',?,?
23990,other_data_types,N,T6,5,NMR_parameters,320,NMR experiments used to derive these data,_Other_data_experiment.Other_data_type_list_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Other data type list ID,INTEGER,NOT NULL,,OtherDataExperiment,OtherDataTypeListID,N,N,,Y,,Other_data_type_list,ID,,,,Y,80,4,,,,,5,?,n/a,Pointer to '_Other_data_type_list.ID',?,?,Y,Y,N,N,N,N,_Other_data_type_list.ID,?,_New_data_type_list.ID,V,V,V,V,V,V,V,V,V,V,V,V,?,0,Other_data_experiment,Other_data_type_list_ID,Y,?,?,?,Y,N,int,,?,?,?,Pointer to '_Other_data_type_list.ID',,N,?,Y,NMR experiments used to derive these data,?,n/a,Pointer to '_Other_data_type_list.ID',NMR experiments used to derive these data,?,n/a,Pointer to '_Other_data_type_list.ID',?,?
24000,other_data_types,N,T6,5,NMR_parameters,320,Software,_Other_data_software.Software_ID,,MC,,,,Y,H,H,H,H,H,N,,,,,,Software ID,INTEGER,NOT NULL,,OtherDataSoftware,SoftwareID,N,N,,Y,,Software,ID,,,,Y,10,,,,,,7,?,Software ID,Pointer to '_Software.ID',?,?,Y,Y,N,N,N,N,_Software.ID,?,_Software.ID,O,O,O,O,O,O,O,O,O,O,O,O,?,0,Other_data_software,Software_ID,Y,?,?,?,Y,N,int,,?,?,?,Pointer to '_Software.ID',,N,?,?,Software,?,Software ID,Pointer to '_Software.ID',Software,?,Software ID,Pointer to '_Software.ID',?,?
24010,other_data_types,N,T6,5,NMR_parameters,320,Software,_Other_data_software.Software_label,,X,,,,Y,N,H,H,H,H,N,,,,,,Software label,VARCHAR(127),NOT NULL,,OtherDataSoftware,SoftwareLabel,N,N,,,,,,,,,Y,20,,11,,,,8,?,Software label,Pointer to a saveframe of the category 'software',?,?,Y,Y,N,N,Y,N,?,?,?,O,O,O,O,O,O,O,O,O,O,O,O,?,1,Other_data_software,Software_label,?,?,?,?,Y,N,label,,?,?,?,Pointer to a saveframe of the category 'software',,N,?,?,Software,?,Software label,Pointer to a saveframe of the category 'software',Software,?,Software label,Pointer to a saveframe of the category 'software',?,?
24020,other_data_types,N,T6,5,NMR_parameters,320,Software,_Other_data_software.Method_ID,,MC,,,,Y,H,H,H,H,H,N,,,,,,Method ID,INTEGER,,,OtherDataSoftware,MethodID,N,N,,,,Method,ID,,,,Y,30,,,,,,7,?,Method ID,Pointer to '_Method.ID',?,?,Y,Y,N,N,N,N,_Method.ID,?,_Method.ID,O,O,O,O,O,O,O,O,O,O,O,O,?,0,Other_data_software,Method_ID,?,?,?,?,Y,N,int,,?,?,?,Pointer to '_Method.ID',,N,?,?,Software,?,Method ID,Pointer to '_Method.ID',Software,?,Method ID,Pointer to '_Method.ID',?,?
24030,other_data_types,N,T6,5,NMR_parameters,320,Software,_Other_data_software.Method_label,,X,,,,Y,H,H,H,H,H,N,,,,,,Method label,VARCHAR(127),,,OtherDataSoftware,MethodLabel,N,N,,,,,,,,,Y,40,,12,,,,8,?,Method label,Pointer to a saveframe of the category 'method',?,?,Y,Y,N,N,Y,N,?,?,?,O,O,O,O,O,O,O,O,O,O,O,O,?,1,Other_data_software,Method_label,?,?,?,?,Y,N,label,,?,?,?,Pointer to a saveframe of the category 'method',,N,?,?,Software,?,Method label,Pointer to a saveframe of the category 'method',Software,?,Method label,Pointer to a saveframe of the category 'method',?,?
24040,other_data_types,N,T6,5,NMR_parameters,320,Software,_Other_data_software.Sf_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Sf ID,INTEGER,NOT NULL,Y,OtherDataSoftware,SfID,N,Y,,,,Other_data_type_list,Sf_ID,,,,Y,50,,,,,,4,?,n/a,Pointer to '_Other_data_type_list.Sf_ID',?,?,Y,Y,N,N,N,N,_Other_data_type_list.Sf_ID,?,_New_data_type_list.Sf_ID,I,I,I,I,I,I,I,I,I,I,I,I,?,0,Other_data_software,Sf_ID,?,?,?,?,Y,N,int,,?,?,?,Pointer to '_Other_data_type_list.Sf_ID',,N,?,?,Software,?,n/a,Pointer to '_Other_data_type_list.Sf_ID',Software,?,n/a,Pointer to '_Other_data_type_list.Sf_ID',?,?
24050,other_data_types,N,T6,5,NMR_parameters,320,Software,_Other_data_software.Entry_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,OtherDataSoftware,EntryID,N,N,,Y,,Entry,ID,,,,Y,60,,,,,,3,?,n/a,Pointer to '_Entry.ID',?,?,Y,Y,N,N,N,N,_Entry.ID,?,_Entry.ID,O,O,O,O,O,O,O,O,O,O,O,O,?,0,Other_data_software,Entry_ID,?,?,?,?,Y,N,code,,?,?,?,Pointer to '_Entry.ID',,Y,?,?,Software,?,n/a,Pointer to '_Entry.ID',Software,?,n/a,Pointer to '_Entry.ID',?,?
24060,other_data_types,N,T6,5,NMR_parameters,320,Software,_Other_data_software.Other_data_type_list_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Other data type list ID,INTEGER,NOT NULL,,OtherDataSoftware,OtherDataTypeListID,N,N,,Y,,Other_data_type_list,ID,,,,Y,70,,,,,,5,?,n/a,Pointer to '_Other_data_type_list.ID',?,?,Y,Y,N,N,N,N,_Other_data_type_list.ID,?,_New_data_type_list.ID,O,O,O,O,O,O,O,O,O,O,O,O,?,0,Other_data_software,Other_data_type_list_ID,Y,?,?,?,Y,N,int,,?,?,?,Pointer to '_Other_data_type_list.ID',,N,?,Y,Software,?,n/a,Pointer to '_Other_data_type_list.ID',Software,?,n/a,Pointer to '_Other_data_type_list.ID',?,?
24070,other_data_types,N,T6,5,NMR_parameters,320,Other data set type,_Other_data.ID,,X,,,,N,H,H,H,H,H,N,,,,,,ID,INTEGER,NOT NULL,,OtherData,OtherDataID,Y,N,,Y,,,,,,,Y,10,,,,,,6,?,n/a,A unique identifier for a reported new data value.,?,?,Y,Y,N,N,N,N,?,?,?,V,I,V,I,V,I,V,V,V,V,V,V,?,0,Other_data,ID,Y,?,?,?,N,N,int,,?,?,?,A unique identifier for a reported new data value.,,N,?,?,Other data set type,?,n/a,A unique identifier for a reported new data value.,Other data set type,?,n/a,A unique identifier for a reported new data value.,?,?
24080,other_data_types,N,T6,5,NMR_parameters,320,Other data set type,_Other_data.Assembly_atom_ID,,X,,,,N,H,H,H,H,H,N,,,,,,Assembly atom ID,INTEGER,,,OtherData,AssemblyAtomID,N,N,,,,Atom,Assembly_atom_ID,,,,Y,20,,,,,,0,?,n/a,Pointer to '_Atom.Assembly_atom_ID',?,?,Y,Y,N,N,N,N,_Chem_comp_atom.Atom_ID,?,_Atom.Entry_atom_ID,O,I,O,I,O,I,O,O,O,O,O,O,?,0,Other_data,Assembly_atom_ID,?,?,?,?,N,N,int,,?,?,?,Pointer to '_Atom.Assembly_atom_ID',,N,?,?,Other data set type,?,n/a,Pointer to '_Atom.Assembly_atom_ID',Other data set type,?,n/a,Pointer to '_Atom.Assembly_atom_ID',?,?
24090,other_data_types,N,T6,5,NMR_parameters,320,Other data set type,_Other_data.Entity_assembly_ID,,X,,,,N,H,H,H,H,H,N,,,,,,Entity assembly ID,INTEGER,NOT NULL,,OtherData,EntityAssemblyID,N,N,,,,Entity_assembly,ID,,,,Y,30,,,,,,0,?,n/a,Pointer to '_Entity_assembly.ID',?,?,Y,Y,N,N,N,N,_Entity_assembly.ID,?,_Entity_assembly.ID,V,I,V,I,V,I,V,V,V,V,V,V,?,0,Other_data,Entity_assembly_ID,?,?,?,?,N,N,int,,?,?,?,Pointer to '_Entity_assembly.ID',,N,?,?,Other data set type,?,n/a,Pointer to '_Entity_assembly.ID',Other data set type,?,n/a,Pointer to '_Entity_assembly.ID',?,?
24100,other_data_types,N,T6,5,NMR_parameters,320,Other data set type,_Other_data.Entity_ID,,X,,,,N,H,H,H,H,H,N,,,,,,Entity ID,INTEGER,NOT NULL,,OtherData,EntityID,N,N,,,,Entity,ID,,,,Y,40,,,,,,0,?,n/a,Pointer to '_Entity.ID',?,?,Y,Y,N,N,N,N,_Entity.ID,?,_Entity.ID,V,I,V,I,V,I,V,V,V,V,V,V,?,0,Other_data,Entity_ID,?,?,?,?,N,N,int,,?,?,?,Pointer to '_Entity.ID',,N,?,?,Other data set type,?,n/a,Pointer to '_Entity.ID',Other data set type,?,n/a,Pointer to '_Entity.ID',?,?
24110,other_data_types,N,T6,5,NMR_parameters,320,Other data set type,_Other_data.Comp_index_ID,,X,,,,N,H,H,H,H,H,N,,,,,,Comp index ID,INTEGER,NOT NULL,,OtherData,CompIndexID,N,N,,,,Entity_comp_index,ID,,,,Y,50,,,,,,0,?,n/a,Pointer to '_Entity_comp_index.ID',?,?,Y,Y,N,N,N,N,?,?,_Entity_comp_index.ID,V,I,V,I,V,I,V,V,V,V,V,V,?,0,Other_data,Comp_index_ID,?,?,?,?,N,N,int,,?,?,?,Pointer to '_Entity_comp_index.ID',,N,?,?,Other data set type,?,n/a,Pointer to '_Entity_comp_index.ID',Other data set type,?,n/a,Pointer to '_Entity_comp_index.ID',?,?
24120,other_data_types,N,T6,5,NMR_parameters,320,Other data set type,_Other_data.Seq_ID,,X,,,,N,H,H,H,H,H,N,,,,,,Seq ID,INTEGER,NOT NULL,,OtherData,SeqID,N,N,,,,Entity_poly_seq,Num,,,,Y,60,,,,,,0,?,n/a,Pointer to '_PDBX_poly_seq_scheme.Seq_ID',?,?,Y,Y,N,N,N,N,_PDBX_poly_seq_scheme.Seq_ID,?,_Entity_poly_seq.Num,O,I,O,I,O,I,V,V,V,V,V,V,?,0,Other_data,Seq_ID,?,?,?,?,N,N,int,,?,?,?,Pointer to '_Entity_poly_seq.Num',,N,?,?,Other data set type,?,n/a,Pointer to '_PDBX_poly_seq_scheme.Seq_ID',Other data set type,?,n/a,Pointer to '_PDBX_poly_seq_scheme.Seq_ID',?,?
24130,other_data_types,N,T6,5,NMR_parameters,320,Other data set type,_Other_data.Comp_ID,,X,,,,N,H,H,H,H,H,N,,,,,,Comp ID,CHAR(12),NOT NULL,,OtherData,CompID,N,N,,,,Chem_comp,ID,,,,Y,70,,,,,,0,?,n/a,Pointer to '_Chem_comp.ID',?,?,Y,Y,N,N,N,N,_Chem_comp.ID,?,_Chem_comp.ID,V,I,V,I,V,I,V,V,V,V,V,V,?,0,Other_data,Comp_ID,?,?,?,?,N,N,code,,?,?,?,Pointer to '_Chem_comp.ID',,N,?,?,Other data set type,?,n/a,Pointer to '_Chem_comp.ID',Other data set type,?,n/a,Pointer to '_Chem_comp.ID',?,?
24140,other_data_types,N,T6,5,NMR_parameters,320,Other data set type,_Other_data.Atom_ID,,X,,,,N,H,H,H,H,H,N,,,,,,Atom ID,CHAR(12),NOT NULL,,OtherData,AtomID,N,N,,,,Chem_comp_atom,Atom_ID,,,,Y,80,,,,,,0,?,n/a,Pointer to '_Chem_comp_atom.Atom_ID',?,?,Y,Y,N,N,N,N,_Chem_comp_atom.Atom_ID,?,_Chem_comp_atom.Atom_ID,V,I,V,I,V,I,V,V,V,V,V,V,?,0,Other_data,Atom_ID,?,?,?,?,N,N,atcode,,?,?,?,Pointer to '_Chem_comp_atom.Atom_ID',,N,?,?,Other data set type,?,n/a,Pointer to '_Chem_comp_atom.Atom_ID',Other data set type,?,n/a,Pointer to '_Chem_comp_atom.Atom_ID',?,?
24150,other_data_types,N,T6,5,NMR_parameters,320,Other data set type,_Other_data.Atom_type,,X,,,,N,H,H,H,H,H,N,,,,,,Atom type,VARCHAR(15),NOT NULL,,OtherData,AtomType,N,N,,,,,,,,,Y,90,,,,,,0,?,n/a,The value for this tag is a standard IUPAC abbreviation for an element (i.e.$ H$ C$ P$ etc).,?,?,Y,Y,N,N,N,N,?,?,?,V,I,V,I,V,I,V,V,V,V,V,V,?,0,Other_data,Atom_type,?,?,?,?,N,N,code,,?,?,?,The value for this tag is a standard IUPAC abbreviation for an element (i.e.$ H$ C$ P$ etc).,,N,?,?,Other data set type,?,n/a,The value for this tag is a standard IUPAC abbreviation for an element (i.e.$ H$ C$ P$ etc).,Other data set type,?,n/a,The value for this tag is a standard IUPAC abbreviation for an element (i.e.$ H$ C$ P$ etc).,?,?
24160,other_data_types,N,T6,5,NMR_parameters,320,Other data set type,_Other_data.Atom_isotope_number,,,,,,N,H,H,H,H,H,N,,,,,,Atom isotope number,INTEGER,,,OtherData,AtomIsotopeNumber,N,N,,,,,,,,,Y,100,,,,,,0,?,n/a,?,?,?,Y,Y,N,N,N,N,?,?,?,O,I,O,I,O,I,O,O,O,O,O,O,?,0,Other_data,Atom_isotope_number,?,?,?,?,N,N,int,,?,?,?,The mass number for the chemical element defined by the tag '_Atom_type' or any of its related tags.,,N,?,?,?,?,n/a,?,?,?,n/a,?,?,?
24170,other_data_types,N,T6,5,NMR_parameters,320,Other data set type,_Other_data.Val,,X,,,,N,H,H,H,H,H,N,,,,,,Val,FLOAT,NOT NULL,,OtherData,Val,N,N,,,,,,,,,Y,110,,,,,,0,?,n/a,Value obtained for the kind of data observed.,?,?,Y,Y,N,N,N,N,?,?,?,V,I,V,I,V,I,V,V,V,V,V,V,?,0,Other_data,Val,?,?,?,?,N,N,float,,?,?,?,Value obtained for the kind of data observed.,,N,?,?,Other data set type,?,n/a,Value obtained for the kind of data observed.,Other data set type,?,n/a,Value obtained for the kind of data observed.,?,?
24180,other_data_types,N,T6,5,NMR_parameters,320,Other data set type,_Other_data.Val_err,,X,,,,N,H,H,H,H,H,N,,,,,,Val err,FLOAT,,,OtherData,ValErr,N,N,,,,,,,,,Y,120,,,,,,0,?,n/a,Estimated error in the value obtained for the kind of data observed.,?,?,Y,Y,N,N,N,N,?,?,?,M,I,M,I,M,I,M,M,M,M,M,M,?,0,Other_data,Val_err,?,?,?,?,N,N,float,,?,?,?,Estimated error in the value obtained for the kind of data observed.,,N,?,?,Other data set type,?,n/a,Estimated error in the value obtained for the kind of data observed.,Other data set type,?,n/a,Estimated error in the value obtained for the kind of data observed.,?,?
24190,other_data_types,N,T6,5,NMR_parameters,320,Other data set type,_Other_data.Resonance_ID,,,,,,N,H,H,H,H,H,N,,,,,,Resonance ID,INTEGER,,,OtherData,ResonanceID,N,N,,,,Resonance,ID,,,,Y,130,,,,,,0,?,n/a,Pointer to '_Resonance.ID',?,?,Y,Y,N,N,N,N,_Resonance.ID,?,?,O,I,O,I,O,I,O,O,O,O,O,O,?,0,Other_data,Resonance_ID,?,?,?,?,N,N,int,,?,?,?,Pointer to '_Resonance.ID',,N,?,?,Other data set type,?,n/a,Pointer to '_Resonance.ID',Other data set type,?,n/a,Pointer to '_Resonance.ID',?,?
24200,other_data_types,N,T6,5,NMR_parameters,320,Other data set type,_Other_data.Auth_entity_assembly_ID,,,,,,N,H,H,H,H,H,N,,,,,,Auth entity assembly ID,VARCHAR(15),,,OtherData,AuthEntityAssemblyID,N,N,,,,,,,,,Y,140,,,,,,0,?,n/a,?,?,?,Y,Y,N,N,N,N,_Entity_assembly.ID,?,?,O,I,O,I,O,I,O,O,O,O,O,O,?,0,Other_data,Auth_entity_assembly_ID,?,?,?,?,N,N,code,,?,?,?,An alternative identifier for Entity_assembly_ID that may be provided by an author in order to match that used in the publication that describes the experimental data.  Note that the value is not required to be a number and does not need to correspond to the value for Entity_assembly_ID.,,N,?,?,?,?,n/a,?,?,?,n/a,?,?,?
24210,other_data_types,N,T6,5,NMR_parameters,320,Other data set type,_Other_data.Auth_seq_ID,,X,,,,N,H,H,H,H,H,N,,,,,,Auth seq ID,VARCHAR(15),,,OtherData,AuthSeqID,N,N,,,,,,,,,Y,150,,,,,,0,-3,n/a,An alternative identifier for Seq_id that may be provided by an author in order to match that used in the publication that describes the experimental data.  Note that the value is not required to be a number and does not need to correspond to the value for Seq_ID or Comp_index_ID.,?,?,Y,Y,N,N,N,N,_Atom_site.Auth_seq_ID,?,?,O,I,O,I,O,I,O,O,O,O,O,O,?,0,Other_data,Auth_seq_ID,?,?,?,?,N,N,code,,?,?,?,An alternative identifier for Seq_id that may be provided by an author in order to match that used in the publication that describes the experimental data.  Note that the value is not required to be a number and does not need to correspond to the value for Seq_ID or Comp_index_ID.,,N,?,?,Other data set type,-3,n/a,An alternative identifier for Seq_id that may be provided by an author in order to match that used in the publication that describes the experimental data.  Note that the value is not required to be a number and does not need to correspond to the value for Seq_ID or Comp_index_ID.,Other data set type,-3,n/a,An alternative identifier for Seq_id that may be provided by an author in order to match that used in the publication that describes the experimental data.  Note that the value is not required to be a number and does not need to correspond to the value for Seq_ID or Comp_index_ID.,?,?
24220,other_data_types,N,T6,5,NMR_parameters,320,Other data set type,_Other_data.Auth_comp_ID,,X,,,,N,H,H,H,H,H,N,,,,,,Auth comp ID,VARCHAR(15),,,OtherData,AuthCompID,N,N,,,,,,,,,Y,160,,,,,,0,DPN,n/a,An alternative identifier for Comp_id that may be provided by an author in order to match that used in the publication that describes the experimental data.,?,?,Y,Y,N,N,N,N,_Atom_site.Auth_comp_ID,?,?,O,I,O,I,O,I,O,O,O,O,O,O,?,0,Other_data,Auth_comp_ID,?,?,?,?,N,N,code,,?,?,?,An alternative identifier for Comp_id that may be provided by an author in order to match that used in the publication that describes the experimental data.,,N,?,?,Other data set type,DPN,n/a,An alternative identifier for Comp_id that may be provided by an author in order to match that used in the publication that describes the experimental data.,Other data set type,DPN,n/a,An alternative identifier for Comp_id that may be provided by an author in order to match that used in the publication that describes the experimental data.,?,?
24230,other_data_types,N,T6,5,NMR_parameters,320,Other data set type,_Other_data.Auth_atom_ID,,X,,,,N,H,H,H,H,H,N,,,,,,Auth atom ID,VARCHAR(15),,,OtherData,AuthAtomID,N,N,,,,,,,,,Y,170,,,,,,0,HB1,n/a,An alternative identifier for Atom_id that may be provided by an author in order to match that used in the publication that describes the experimental data.,?,?,Y,Y,N,N,N,N,_Chem_comp_atom.Atom_ID,?,?,O,I,O,I,O,I,O,O,O,O,O,O,?,0,Other_data,Auth_atom_ID,?,?,?,?,N,N,code,,?,?,?,An alternative identifier for Atom_id that may be provided by an author in order to match that used in the publication that describes the experimental data.,,N,?,?,Other data set type,HB1,n/a,An alternative identifier for Atom_id that may be provided by an author in order to match that used in the publication that describes the experimental data.,Other data set type,HB1,n/a,An alternative identifier for Atom_id that may be provided by an author in order to match that used in the publication that describes the experimental data.,?,?
